127.0.0.1 - - [13/Mar/2025:17:24:39 -0500] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:24:41 -0500] "GET /PrimerosPasosJSP/Registro.html HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:24:41 -0500] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:28:24 -0500] "GET /PrimerosPasosJSP/Registro.html HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:37:15 -0500] "GET /PrimerosPasosJSP/FormularioRegistro.html HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:37:43 -0500] "GET /PrimerosPasosJSP/Registro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:17:38:42 -0500] "POST /PrimerosPasosJSP/RecogeDatos.jsp HTTP/1.1" 500 3863
0:0:0:0:0:0:0:1 - - [13/Mar/2025:18:13:43 -0500] "GET /PrimerosPasosJSP/Registro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:18:14:14 -0500] "POST /PrimerosPasosJSP/RecogeDatos.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [13/Mar/2025:18:19:22 -0500] "GET /PrimerosPasosJSP/Registro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:18:20:48 -0500] "POST /PrimerosPasosJSP/RecogeDatos.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [13/Mar/2025:18:25:02 -0500] "GET /PrimerosPasosJSP/Registro.html HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [13/Mar/2025:18:26:03 -0500] "POST /PrimerosPasosJSP/RecogeDatos.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [13/Mar/2025:19:02:54 -0500] "GET /PrimerosPasosJSP/Registro.html HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [13/Mar/2025:20:17:10 -0500] "GET /PrimerosPasosJSP/FormularioLogin.html HTTP/1.1" 200 900
0:0:0:0:0:0:0:1 - - [13/Mar/2025:21:03:20 -0500] "GET /PrimerosPasosJSP/FormularioLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:21:03:58 -0500] "GET /PrimerosPasosJSP/FormularioLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:21:06:18 -0500] "POST /PrimerosPasosJSP/CompruebaUsuario.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [13/Mar/2025:21:09:48 -0500] "GET /PrimerosPasosJSP/FormularioLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2025:21:10:20 -0500] "POST /PrimerosPasosJSP/CompruebaUsuario.jsp HTTP/1.1" 200 161
