127.0.0.1 - - [10/Mar/2025:16:29:06 -0500] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [10/Mar/2025:16:52:11 -0500] "GET /PrimerosPasosJSP/EjemploExpresiones.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [10/Mar/2025:16:52:11 -0500] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [10/Mar/2025:17:02:13 -0500] "GET /PrimerosPasosJSP/EjemploScriplet.jsp HTTP/1.1" 500 2447
0:0:0:0:0:0:0:1 - - [10/Mar/2025:17:03:33 -0500] "GET /PrimerosPasosJSP/EjemploScriplet.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [10/Mar/2025:17:04:20 -0500] "GET /PrimerosPasosJSP/EjemploScriplet.jsp HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [10/Mar/2025:17:06:11 -0500] "GET /PrimerosPasosJSP/EjemploScriplet.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [10/Mar/2025:17:17:56 -0500] "GET /PrimerosPasosJSP/EjemploDeclaraciones.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [10/Mar/2025:17:21:20 -0500] "GET /PrimerosPasosJSP/EjemploDeclaraciones.jsp HTTP/1.1" 200 244
